DEPTH,NPHI,RHOB,GR,RT,PEF,CALI
2687.6,,,29.516,0.461,,
2687.7,,,28.286,0.443,,
2687.8,,,26.938,0.464,,
2687.9,,,30.057,0.439,,
2688.0,,,31.213,0.437,,
2688.1,,,30.623,0.431,,
2688.2,,,29.318,0.421,,
2688.3,,,29.157,0.403,,
2688.4,,,30.564,0.387,,
2688.5,,,31.145,0.38,,
2688.6,,,30.535,0.375,,
2688.7,,,29.261,0.375,,
2688.8,,,28.717,0.371,,
2688.9,,,28.956,0.368,,
2689.0,,,29.457,0.367,,
2689.1,,,30.806,0.365,,
2689.2,,,30.672,0.364,,
2689.3,,,31.002,0.367,,
2689.4,,,30.417,0.367,,
2689.5,,,29.831,0.368,,
2689.6,,,29.772,0.369,,
2689.7,,,29.713,0.368,,
2689.8,,,29.493,0.367,,
2689.9,,,29.874,0.369,,
2690.0,,,30.364,0.371,,
2690.1,,,29.488,0.372,,
2690.2,,,30.171,0.371,,
2690.3,,,31.084,0.374,,
2690.4,,,30.483,0.378,,
2690.5,,,31.322,0.38,,
2690.6,,,30.091,0.381,,
2690.7,,,30.093,0.384,,
2690.8,,,29.815,0.386,,
2690.9,,,29.744,0.387,,
2691.0,,,28.448,0.388,,
2691.1,,,28.678,0.389,,
2691.2,,,29.675,0.388,,
2691.3,,,31.066,0.393,,
2691.4,,,31.555,0.392,,
2691.5,,,32.363,0.392,,
2691.6,,,32.653,0.397,,
2691.7,,,31.823,0.404,,
2691.8,,,33.117,0.404,,
2691.9,,,32.499,0.407,,
2692.0,,,33.368,0.409,,
2692.1,,,32.554,0.414,,
2692.2,,,33.7,0.415,,
2692.3,,,31.134,0.416,,
2692.4,,,28.654,0.42,,
2692.5,,,30.413,0.42,,
2692.6,,,31.813,0.425,,
2692.7,,,32.054,0.425,,
2692.8,,,30.323,0.426,,
2692.9,,,32.128,0.425,,
2693.0,,,30.862,0.426,,
2693.1,,,33.184,0.423,,
2693.2,,,32.375,0.428,,
2693.3,,,32.35,0.428,,
2693.4,,,32.485,0.431,,
2693.5,,,32.918,0.434,,
2693.6,,,33.196,0.432,,
2693.7,,,32.724,0.427,,
2693.8,,,30.312,0.402,,
2693.9,,,30.535,0.393,,
2694.0,,,30.465,0.391,,
2694.1,,,30.216,0.388,,
2694.2,,,30.333,0.383,,
2694.3,,,29.662,0.379,,
2694.4,,,29.483,0.377,,
2694.5,,,32.276,0.374,,
2694.6,,,35.048,0.375,,
2694.7,,,32.963,0.376,,
2694.8,,,31.264,0.377,,
2694.9,,,30.962,0.375,,
2695.0,,,31.033,0.371,,
2695.1,,,30.853,0.371,,
2695.2,,,29.707,0.369,,
2695.3,,,28.571,0.373,,
2695.4,,,28.971,0.375,,
2695.5,,,28.594,0.379,,
2695.6,,,31.466,0.379,,
2695.7,,,29.71,0.381,,
2695.8,,,27.871,0.382,,
2695.9,,,28.145,0.386,,
2696.0,,,30.004,0.388,,
2696.1,,,29.477,0.392,,
2696.2,,,29.599,0.392,,
2696.3,,,28.82,0.394,,
2696.4,,,27.771,0.394,,
2696.5,,,31.335,0.396,,
2696.6,,,31.887,0.396,,
2696.7,,,31.794,0.394,,
2696.8,,,31.132,0.39,,
2696.9,,,32.111,0.393,,
2697.0,,,29.369,0.383,,
2697.1,,,27.308,0.38,,
2697.2,,,30.066,0.377,,
2697.3,,,30.031,0.372,,
2697.4,,,29.371,0.371,,
2697.5,,,32.481,0.37,,
2697.6,,,30.763,0.369,,
2697.7,,,28.775,0.368,,
2697.8,,,28.559,0.365,,
2697.9,,,28.239,0.364,,
2698.0,,,27.591,0.364,,
2698.1,,,29.848,0.364,,
2698.2,,,28.997,0.366,,
2698.3,,,28.372,0.37,,
2698.4,,,29.805,0.372,,
2698.5,,,29.421,0.373,,
2698.6,,,28.434,0.375,,
2698.7,,,28.937,0.373,,
2698.8,,,30.838,0.37,,
2698.9,,,32.021,0.369,,
2699.0,,,31.395,0.368,,
2699.1,,,29.585,0.366,,
2699.2,,,28.924,0.364,,
2699.3,,,27.975,0.364,,
2699.4,,,29.444,0.366,,
2699.5,,,31.891,0.364,,
2699.6,,,31.787,0.36,,
2699.7,,,30.566,0.361,,
2699.8,,,30.504,0.358,,
2699.9,,,28.606,0.361,,
2700.0,,,29.974,0.364,,
2700.1,,,30.638,0.364,,
2700.2,,,29.911,0.366,,
2700.3,,,29.086,0.366,,
2700.4,,,29.667,0.366,,
2700.5,,,30.218,0.364,,
2700.6,,,30.83,0.364,,
2700.7,,,28.354,0.361,,
2700.8,,,29.206,0.364,,
2700.9,,,29.419,0.366,,
2701.0,,,30.515,0.369,,
2701.1,,,30.781,0.366,,
2701.2,,,30.266,0.361,,
2701.3,,,30.725,0.363,,
2701.4,,,31.174,0.363,,
2701.5,,,31.243,0.363,,
